,,,duration,bytes
92000354,2021-12-12,AT&T Mobility,75560,14112
92000354,2021-12-13,AT&T Mobility,100746,18816
92000354,2021-12-14,AT&T Mobility,63533,173740
92000354,2021-12-15,AT&T Mobility,103100,18984
92000354,2021-12-16,AT&T Mobility,75560,14112
92000354,2021-12-17,AT&T Mobility,100746,18816
92000354,2021-12-18,AT&T Mobility,75559,14112
92000354,2021-12-19,AT&T Mobility,100746,18816
92000354,2021-12-20,AT&T Mobility,75560,14112
92000354,2021-12-21,AT&T Mobility,75560,14112
92000354,2021-12-22,AT&T Mobility,100746,18816
92000354,2021-12-23,AT&T Mobility,75559,14112
92000354,2021-12-24,AT&T Mobility,100746,18648
92000354,2021-12-25,AT&T Mobility,41307,7224
92000354,2021-12-28,AT&T Mobility,97284,38114
92000354,2021-12-29,AT&T Mobility,75559,33267
92000354,2021-12-30,AT&T Mobility,100747,18984
92000354,2021-12-31,AT&T Mobility,75559,14112
92000354,2022-01-01,AT&T Mobility,73917,13272
92000354,2022-01-03,AT&T Mobility,46910,8736
92000354,2022-01-04,AT&T Mobility,75560,37353
92000354,2022-01-05,AT&T Mobility,75560,14112
92000354,2022-01-06,AT&T Mobility,100746,18816
92000354,2022-01-07,AT&T Mobility,75559,14112
92000354,2022-01-08,AT&T Mobility,100746,18816
92000354,2022-01-09,AT&T Mobility,75560,13944
92000354,2022-01-10,AT&T Mobility,99915,18648
92000354,2022-01-11,AT&T Mobility,75565,14112
92000354,2022-01-12,AT&T Mobility,90698,36206
92000354,2022-01-13,AT&T Mobility,75559,14112
92000354,2022-01-14,AT&T Mobility,100746,18816
92000354,2022-01-15,AT&T Mobility,75560,16501
92000354,2022-01-16,AT&T Mobility,100746,18816
92000354,2022-01-17,AT&T Mobility,25186,4704
92000368,2021-12-07,"T-Mobile USA, Inc",12590,56885848
92000368,2021-12-08,"T-Mobile USA, Inc",100745,4141270
92000368,2021-12-09,"T-Mobile USA, Inc",75560,3056984
92000368,2021-12-10,"T-Mobile USA, Inc",100746,4098289
92000368,2021-12-11,"T-Mobile USA, Inc",75559,3459604
92000368,2021-12-12,"T-Mobile USA, Inc",100746,4697125
92000368,2021-12-13,"T-Mobile USA, Inc",67085,4456930
92000368,2021-12-14,"T-Mobile USA, Inc",100748,4010811
92000368,2021-12-15,"T-Mobile USA, Inc",75559,3405151
92000368,2021-12-16,"T-Mobile USA, Inc",100746,5485279
92000368,2021-12-17,"T-Mobile USA, Inc",75559,4286244
92000368,2021-12-18,"T-Mobile USA, Inc",100746,4947892
92000368,2021-12-19,"T-Mobile USA, Inc",75559,4072488
92000368,2021-12-20,"T-Mobile USA, Inc",75559,4205071
92000368,2021-12-21,"T-Mobile USA, Inc",100746,4438292
92000368,2021-12-22,"T-Mobile USA, Inc",75559,3925108
92000368,2021-12-23,AT&T Mobility,72181,3283050
92000368,2021-12-23,"T-Mobile USA, Inc",8818,626829
92000368,2021-12-24,AT&T Mobility,100746,3396751
92000368,2021-12-25,AT&T Mobility,75559,2666003
92000368,2021-12-26,AT&T Mobility,100746,3674472
92000368,2021-12-27,AT&T Mobility,75559,3332843
92000368,2021-12-28,AT&T Mobility,102497,4313133
92000368,2021-12-29,AT&T Mobility,75559,3901220
92000368,2021-12-30,AT&T Mobility,75560,3158284
92000368,2021-12-31,AT&T Mobility,100745,3610022
92000368,2022-01-01,AT&T Mobility,75560,2803807
92000368,2022-01-02,AT&T Mobility,100745,3818627
92000368,2022-01-03,AT&T Mobility,75560,2907993
92000368,2022-01-04,AT&T Mobility,100745,3322893
92000368,2022-01-05,AT&T Mobility,75560,2983854
92000368,2022-01-06,AT&T Mobility,75559,2538592
92000368,2022-01-07,AT&T Mobility,100745,3777920
92000368,2022-01-08,AT&T Mobility,75560,2757085
92000368,2022-01-09,AT&T Mobility,100745,3922592
92000368,2022-01-10,AT&T Mobility,75560,2775244
92000368,2022-01-11,AT&T Mobility,100745,3906465
92000368,2022-01-12,AT&T Mobility,7467,375030
92000368,2022-01-12,"T-Mobile USA, Inc",75565,2870065
92000368,2022-01-13,"T-Mobile USA, Inc",75559,2742335
92000368,2022-01-14,"T-Mobile USA, Inc",100746,3842142
92000368,2022-01-15,"T-Mobile USA, Inc",78576,59451216
92000368,2022-01-16,"T-Mobile USA, Inc",75560,2993123
92000368,2022-01-17,"T-Mobile USA, Inc",50372,1657756
92000436,2021-11-25,"T-Mobile USA, Inc",100746,4153881
92000436,2021-11-26,"T-Mobile USA, Inc",75559,3176004
92000436,2021-11-27,"T-Mobile USA, Inc",100746,4284743
92000436,2021-11-28,"T-Mobile USA, Inc",75559,3133232
92000436,2021-11-29,"T-Mobile USA, Inc",75560,3286185
92000436,2021-11-30,"T-Mobile USA, Inc",100745,5784515
92000436,2021-12-01,"T-Mobile USA, Inc",75560,3407863
92000436,2021-12-02,"T-Mobile USA, Inc",100746,4426546
92000436,2021-12-03,"T-Mobile USA, Inc",75559,11582227
92000436,2021-12-04,"T-Mobile USA, Inc",89042,13010530
92000436,2021-12-05,"T-Mobile USA, Inc",75559,9296238
92000436,2021-12-06,"T-Mobile USA, Inc",93640,11294070
92000436,2021-12-07,"T-Mobile USA, Inc",82689,4088718
92000436,2021-12-08,"T-Mobile USA, Inc",104577,4983231
92000436,2021-12-09,"T-Mobile USA, Inc",75560,4290526
92000436,2021-12-10,"T-Mobile USA, Inc",75559,4785821
92000436,2021-12-11,"T-Mobile USA, Inc",100746,4729012
92000436,2021-12-12,"T-Mobile USA, Inc",75559,3706344
92000436,2021-12-13,"T-Mobile USA, Inc",100746,4650128
92000436,2021-12-14,"T-Mobile USA, Inc",75559,4217083
92000436,2021-12-15,"T-Mobile USA, Inc",100746,4433804
92000436,2021-12-16,"T-Mobile USA, Inc",75560,3548599
92000436,2021-12-17,"T-Mobile USA, Inc",75559,3458579
92000436,2021-12-18,"T-Mobile USA, Inc",100746,5545507
92000436,2021-12-19,"T-Mobile USA, Inc",75559,3605285
92000436,2021-12-20,"T-Mobile USA, Inc",100746,4683323
92000436,2021-12-21,"T-Mobile USA, Inc",75560,3536974
92000436,2021-12-22,"T-Mobile USA, Inc",100746,4355046
92000436,2021-12-23,"T-Mobile USA, Inc",75559,3409561
92000436,2021-12-24,"T-Mobile USA, Inc",75559,3185621
92000436,2021-12-25,"T-Mobile USA, Inc",100746,4405463
92000436,2021-12-26,"T-Mobile USA, Inc",75560,3583187
92000436,2021-12-27,"T-Mobile USA, Inc",100110,4515023
92000436,2021-12-28,"T-Mobile USA, Inc",75560,3192209
92000436,2021-12-29,"T-Mobile USA, Inc",100745,3668624
92000436,2021-12-30,"T-Mobile USA, Inc",75560,2962094
92000436,2021-12-31,"T-Mobile USA, Inc",75559,3162597
92000436,2022-01-01,"T-Mobile USA, Inc",100746,4324382
92000436,2022-01-02,"T-Mobile USA, Inc",75559,4048322
92000436,2022-01-03,"T-Mobile USA, Inc",100746,4100145
92000436,2022-01-04,"T-Mobile USA, Inc",75560,3128075
92000436,2022-01-05,"T-Mobile USA, Inc",100746,3935785
92000436,2022-01-06,"T-Mobile USA, Inc",69314,2949869
92000436,2022-01-07,"T-Mobile USA, Inc",100746,4162577
92000436,2022-01-08,"T-Mobile USA, Inc",75559,2863352
92000436,2022-01-09,"T-Mobile USA, Inc",100746,4316515
92000436,2022-01-10,"T-Mobile USA, Inc",75559,3400984
92000436,2022-01-11,"T-Mobile USA, Inc",75560,3685176
92000436,2022-01-12,"T-Mobile USA, Inc",100746,4150147
92000436,2022-01-13,"T-Mobile USA, Inc",75559,2958865
92000436,2022-01-14,"T-Mobile USA, Inc",75559,2284488
92000436,2022-01-15,"T-Mobile USA, Inc",85705,2167645
92000436,2022-01-16,"T-Mobile USA, Inc",91437,2386095
92000436,2022-01-17,AT&T Mobility,21778,567037
92000436,2022-01-17,"T-Mobile USA, Inc",17779,545497
92000442,2021-11-25,AT&T Mobility,77839,3160985
92000442,2021-11-26,AT&T Mobility,84135,3049686
92000442,2021-11-27,AT&T Mobility,100746,3648360
92000442,2021-11-28,AT&T Mobility,79209,2537668
92000442,2021-11-29,AT&T Mobility,78992,2700089
92000442,2021-11-30,AT&T Mobility,94244,3127267
92000442,2021-12-01,AT&T Mobility,75564,5473387
92000442,2021-12-02,AT&T Mobility,92188,11307968
92000442,2021-12-03,AT&T Mobility,80959,10485567
92000442,2021-12-04,AT&T Mobility,104798,12014511
92000442,2021-12-05,AT&T Mobility,75559,8606037
92000442,2021-12-06,AT&T Mobility,78835,9177239
92000442,2021-12-07,AT&T Mobility,103511,3336813
92000442,2021-12-08,AT&T Mobility,85853,3282787
92000442,2021-12-09,AT&T Mobility,11932,447672
92000442,2021-12-20,AT&T Mobility,91083,3914620
92000442,2021-12-21,AT&T Mobility,73829,2392852
92000442,2021-12-22,AT&T Mobility,92742,3319994
92000442,2021-12-23,AT&T Mobility,75559,2652961
92000442,2021-12-24,AT&T Mobility,89381,2971547
92000442,2021-12-25,AT&T Mobility,84487,3059579
92000442,2021-12-26,AT&T Mobility,99329,4055114
92000442,2021-12-27,AT&T Mobility,86788,3616553
92000442,2021-12-28,AT&T Mobility,71627,2354576
92000442,2021-12-29,AT&T Mobility,99382,4005519
92000442,2021-12-30,AT&T Mobility,76870,3004252
92000442,2021-12-31,AT&T Mobility,86604,3022474
92000442,2022-01-01,AT&T Mobility,88508,3486452
92000442,2022-01-02,AT&T Mobility,87303,3514034
92000442,2022-01-03,AT&T Mobility,21402,675191
92000442,2022-01-07,AT&T Mobility,97278,3689856
92000442,2022-01-08,AT&T Mobility,75560,2851369
92000442,2022-01-09,AT&T Mobility,100746,3464759
92000442,2022-01-10,AT&T Mobility,75559,2873782
92000442,2022-01-11,AT&T Mobility,100746,3658048
92000442,2022-01-12,AT&T Mobility,14,0
92000442,2022-01-12,"T-Mobile USA, Inc",75565,2729750
92000442,2022-01-13,"T-Mobile USA, Inc",75559,2483228
92000442,2022-01-14,"T-Mobile USA, Inc",100746,3643651
92000442,2022-01-15,"T-Mobile USA, Inc",73763,2430269
92000442,2022-01-16,"T-Mobile USA, Inc",15376,58149125
92000442,2022-01-17,"T-Mobile USA, Inc",21730,876104
92000444,2021-11-25,"T-Mobile USA, Inc",63558,2522256
92000444,2021-11-26,"T-Mobile USA, Inc",86819,3161597
92000444,2021-11-27,"T-Mobile USA, Inc",102645,3557479
92000444,2021-11-28,"T-Mobile USA, Inc",63561,2793179
92000444,2021-11-29,"T-Mobile USA, Inc",87127,2977832
92000444,2021-11-30,"T-Mobile USA, Inc",87447,3227686
92000444,2021-12-01,"T-Mobile USA, Inc",90362,3573898
92000444,2021-12-02,"T-Mobile USA, Inc",76655,64137604
92000444,2021-12-03,AT&T Mobility,72137,5666050
92000444,2021-12-03,"T-Mobile USA, Inc",16956,1276304
92000444,2021-12-04,AT&T Mobility,100746,7218991
92000444,2021-12-05,AT&T Mobility,75559,5224118
92000444,2021-12-06,AT&T Mobility,100746,7144422
92000444,2021-12-07,AT&T Mobility,75560,2490521
92000444,2021-12-08,AT&T Mobility,75559,2494402
92000444,2021-12-09,AT&T Mobility,100746,3147853
92000444,2021-12-10,AT&T Mobility,75559,2739225
92000444,2021-12-11,AT&T Mobility,100746,3249154
92000444,2021-12-12,AT&T Mobility,75560,2565673
92000444,2021-12-13,AT&T Mobility,100746,3457586
92000444,2021-12-14,AT&T Mobility,75559,2600980
92000444,2021-12-15,AT&T Mobility,75559,2669952
92000444,2021-12-16,AT&T Mobility,100746,3513346
92000444,2021-12-17,AT&T Mobility,75560,7997426
92000444,2021-12-18,AT&T Mobility,100745,3096148
92000444,2021-12-19,AT&T Mobility,75560,2769452
92000444,2021-12-20,AT&T Mobility,100746,3406400
92000444,2021-12-21,AT&T Mobility,75559,2980622
92000444,2021-12-22,AT&T Mobility,75559,3041386
92000444,2021-12-23,AT&T Mobility,100746,3682755
92000444,2021-12-24,AT&T Mobility,75252,63303019
92000444,2021-12-25,AT&T Mobility,100746,3177528
92000444,2021-12-26,AT&T Mobility,75560,2552506
92000444,2021-12-27,AT&T Mobility,100745,3289534
92000444,2021-12-28,AT&T Mobility,75560,2490246
92000444,2021-12-29,AT&T Mobility,75559,2562058
92000444,2021-12-30,AT&T Mobility,100746,3449069
92000444,2021-12-31,AT&T Mobility,75559,2234205
92000444,2022-01-01,AT&T Mobility,105106,3335818
92000444,2022-01-02,AT&T Mobility,75560,2449968
92000444,2022-01-03,AT&T Mobility,75559,2678336
92000444,2022-01-04,AT&T Mobility,100746,3734051
92000444,2022-01-05,AT&T Mobility,75559,2671926
92000444,2022-01-06,AT&T Mobility,89938,2751123
92000444,2022-01-07,AT&T Mobility,100746,3434132
92000444,2022-01-08,AT&T Mobility,75559,2775141
92000444,2022-01-09,AT&T Mobility,75560,2230751
92000444,2022-01-10,AT&T Mobility,100746,3416578
92000444,2022-01-11,AT&T Mobility,78727,3076496
92000444,2022-01-12,AT&T Mobility,100746,3145583
92000444,2022-01-13,AT&T Mobility,75559,2355622
92000444,2022-01-14,AT&T Mobility,75560,2873455
92000444,2022-01-15,AT&T Mobility,100746,3259349
92000444,2022-01-16,AT&T Mobility,75559,2301078
92000444,2022-01-17,AT&T Mobility,50373,1924773
92000479*,2021-11-25,AT&T Mobility,71313,14448
92000479*,2021-11-26,AT&T Mobility,100746,19656
92000479*,2021-11-27,AT&T Mobility,71294,13944
92000479*,2021-11-28,AT&T Mobility,102711,19656
92000479*,2021-11-29,AT&T Mobility,87774,2654637
92000479*,2021-11-30,AT&T Mobility,71780,2749071
92000479*,2021-12-01,AT&T Mobility,79880,5033208
92000479*,2021-12-02,AT&T Mobility,99732,9929075
92000479*,2021-12-03,AT&T Mobility,75667,9062024
92000479*,2021-12-04,AT&T Mobility,85470,10873760
92000479*,2021-12-05,AT&T Mobility,85089,13250457
92000479*,2021-12-06,AT&T Mobility,108580,14623535
92000479*,2021-12-07,AT&T Mobility,66580,2738124
92000479*,2021-12-08,AT&T Mobility,93105,5419558
92000479*,2021-12-09,AT&T Mobility,77283,3289637
92000479*,2021-12-10,AT&T Mobility,86574,4400580
92000479*,2021-12-11,AT&T Mobility,58796,3712032
92000479*,2021-12-11,"T-Mobile USA, Inc",47053,1895073
92000479*,2021-12-12,AT&T Mobility,19446,538090
92000479*,2021-12-12,"T-Mobile USA, Inc",62701,2949675
92000479*,2021-12-13,AT&T Mobility,88329,3927594
92000479*,2021-12-14,AT&T Mobility,81503,3715071
92000479*,2021-12-15,AT&T Mobility,91727,3620963
92000479*,2021-12-16,AT&T Mobility,81804,7846361
92000479*,2021-12-17,AT&T Mobility,88694,12272130
92000479*,2021-12-18,AT&T Mobility,76746,3454336
92000479*,2021-12-19,AT&T Mobility,59960,2368547
92000479*,2021-12-19,"T-Mobile USA, Inc",25189,1662264
92000479*,2021-12-20,AT&T Mobility,2225,281652
92000479*,2021-12-20,"T-Mobile USA, Inc",94861,5756350
92000479*,2021-12-21,"T-Mobile USA, Inc",84607,5071989
92000479*,2021-12-22,"T-Mobile USA, Inc",86321,4053201
92000479*,2021-12-23,"T-Mobile USA, Inc",75560,3028877
92000479*,2021-12-24,"T-Mobile USA, Inc",100745,3955660
92000479*,2021-12-25,"T-Mobile USA, Inc",72078,3819408
92000479*,2021-12-26,"T-Mobile USA, Inc",100630,5728416
92000479*,2021-12-27,"T-Mobile USA, Inc",75559,2991535
92000479*,2021-12-28,"T-Mobile USA, Inc",100746,4092529
92000479*,2021-12-29,"T-Mobile USA, Inc",75559,2975255
92000479*,2021-12-30,"T-Mobile USA, Inc",75560,3338997
92000479*,2021-12-31,"T-Mobile USA, Inc",100746,4576439
92000479*,2022-01-01,"T-Mobile USA, Inc",75559,3636126
92000479*,2022-01-02,"T-Mobile USA, Inc",100746,4231646
92000479*,2022-01-03,"T-Mobile USA, Inc",75559,3952777
92000479*,2022-01-04,"T-Mobile USA, Inc",100746,5241297
92000479*,2022-01-05,"T-Mobile USA, Inc",77277,5314444
92000479*,2022-01-06,"T-Mobile USA, Inc",76964,4119468
92000479*,2022-01-07,"T-Mobile USA, Inc",100746,3576824
92000479*,2022-01-08,"T-Mobile USA, Inc",75559,2779001
92000479*,2022-01-09,"T-Mobile USA, Inc",100746,3772505
92000479*,2022-01-10,"T-Mobile USA, Inc",75966,4054608
92000479*,2022-01-11,AT&T Mobility,43366,1629163
92000479*,2022-01-11,"T-Mobile USA, Inc",31717,2913717
92000479*,2022-01-12,AT&T Mobility,88019,4764544
92000479*,2022-01-13,AT&T Mobility,62682,3165098
92000479*,2022-01-13,"T-Mobile USA, Inc",25778,1147166
92000479*,2022-01-14,AT&T Mobility,32375,1217122
92000479*,2022-01-14,"T-Mobile USA, Inc",57364,2846895
92000479*,2022-01-15,AT&T Mobility,85371,3311559
92000479*,2022-01-16,AT&T Mobility,83831,93305193
92000479*,2022-01-17,AT&T Mobility,49992,2238851
92000488,2021-11-25,AT&T Mobility,75560,994105
92000488,2021-11-26,AT&T Mobility,75559,743473
92000488,2021-11-27,AT&T Mobility,80562,1388921
